MUNICIPALITY,CODE,YEAR,MONTH,HEIGHT,DIAMETRE,TOWNHALL,BASALAN,FIREFIGHTERS,DESTROYED,INDESTRUCTIBLE,PENDING,WOODLAND,CONSTRUCTION,BEEHIVES,AKTINIDIA (KIWI),BLUEBERRIES,RASPBERRIES,FRUIT TREES,APPLE TREES,PEAR TREES,TXAKOLI VINEYARD
ABADIÑO,48001,2018,1,8.0,40.0,0,2,0,2,0,0,1,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,2,14.6,26.0,0,4,1,4,1,0,2,3,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,5,17.5,55.0,0,2,0,2,0,0,0,2,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,6,15.0,45.0,0,2,0,2,0,0,0,2,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,7,10.375,41.25,0,5,3,6,2,0,2,6,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,8,7.63157894736842,33.736842105263165,0,15,4,18,1,0,4,15,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,9,5.4,31.0,0,8,2,8,2,0,4,6,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,10,3.333333333333333,5.0,0,3,0,3,0,0,2,1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2018,11,0.0,10.0,0,1,0,1,0,0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,1,3.0,40.0,0,1,0,1,0,0,0,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,2,6.0,20.0,0,1,0,1,0,0,0,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,3,8.0,10.0,0,1,0,1,0,0,0,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,4,1.0,1.0,0,0,1,1,0,0,0,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,5,6.0,30.0,0,1,0,1,0,0,0,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,6,5.333333333333333,17.0,0,1,2,2,1,0,1,2,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,7,5.0,20.0,0,2,1,3,0,0,2,1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,8,9.4,45.0,0,4,1,5,0,0,4,1,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,9,5.333333333333333,26.66666666666667,0,2,1,3,0,0,1,2,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,10,1.0,20.0,0,1,1,2,0,0,1,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABADIÑO,48001,2019,11,6.0,30.0,0,1,0,1,0,0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,1,1.0,40.0,0,0,1,1,0,0,0,1,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,3,12.333333333333336,46.66666666666666,0,3,0,2,1,0,1,2,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,4,4.0,30.0,0,1,0,1,0,0,0,1,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,5,10.0,50.0,0,1,0,1,0,0,0,1,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,6,5.0,51.33333333333334,0,2,1,3,0,0,1,2,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,7,13.666666666666664,41.55555555555557,0,6,3,9,0,0,3,6,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,8,7.2,41.86666666666667,0,14,1,15,0,0,8,7,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,9,8.166666666666666,27.91666666666667,0,8,4,11,1,0,8,4,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,10,4.107142857142857,18.428571428571427,0,26,2,27,1,0,25,3,2828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,11,5.545454545454546,11.0,0,10,1,10,1,0,10,1,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2018,12,12.25,17.625,0,7,1,4,4,0,4,4,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,1,8.6,38.0,0,5,0,5,0,0,2,3,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,2,4.0,40.0,0,2,0,2,0,0,2,0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,3,10.0,50.0,0,0,1,1,0,0,1,0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,4,9.5,30.25,1,3,0,2,2,0,3,1,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,5,13.666666666666664,40.333333333333336,0,3,0,3,0,0,2,1,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,6,12.142857142857142,34.42857142857143,0,6,1,7,0,0,0,7,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,7,4.5555555555555545,25.33333333333333,0,9,0,8,1,0,4,5,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,8,12.0,35.0,0,4,0,3,1,0,2,2,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,9,6.8,25.2,0,4,1,5,0,0,3,2,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,10,10.166666666666666,47.5,0,6,0,6,0,0,6,0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,48002,2019,11,15.0,30.0,0,1,0,1,0,0,0,1,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJANGIZ,48911,2018,5,4.0,9.0,0,2,0,2,0,0,2,0,0.0,30.0,0.0,0.0,34.0,2.0,0.0,6.0
AJANGIZ,48911,2018,6,10.0,70.0,0,1,0,1,0,0,0,1,0.0,15.0,0.0,0.0,17.0,1.0,0.0,3.0
AJANGIZ,48911,2018,7,4.666666666666667,24.66666666666667,0,3,0,3,0,0,0,3,0.0,45.0,0.0,0.0,51.0,3.0,0.0,9.0
AJANGIZ,48911,2018,8,8.2,38.0,0,5,0,5,0,0,0,5,0.0,75.0,0.0,0.0,85.0,5.0,0.0,15.0
AJANGIZ,48911,2018,9,5.5,30.0,0,2,0,2,0,0,2,0,0.0,30.0,0.0,0.0,34.0,2.0,0.0,6.0
AJANGIZ,48911,2018,10,10.0,32.5,0,4,0,4,0,0,3,1,0.0,60.0,0.0,0.0,68.0,4.0,0.0,12.0
AJANGIZ,48911,2018,12,5.5,25.0,0,2,0,2,0,0,0,2,0.0,30.0,0.0,0.0,34.0,2.0,0.0,6.0
AJANGIZ,48911,2019,5,30.0,40.0,0,1,0,1,0,0,1,0,0.0,15.0,0.0,0.0,17.0,1.0,0.0,3.0
AJANGIZ,48911,2019,8,9.5,25.25,0,4,0,4,0,0,2,2,0.0,60.0,0.0,0.0,68.0,4.0,0.0,12.0
AJANGIZ,48911,2019,9,13.333333333333336,33.333333333333336,0,3,0,3,0,0,3,0,0.0,45.0,0.0,0.0,51.0,3.0,0.0,9.0
AJANGIZ,48911,2019,10,4.5,25.0,0,2,0,2,0,0,1,1,0.0,30.0,0.0,0.0,34.0,2.0,0.0,6.0
AJANGIZ,48911,2019,11,8.0,45.0,0,2,0,2,0,0,2,0,0.0,30.0,0.0,0.0,34.0,2.0,0.0,6.0
ALONSOTEGI,48912,2018,1,3.333333333333333,31.66666666666667,0,3,0,3,0,0,2,1,360.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0
ALONSOTEGI,48912,2018,3,5.333333333333333,18.666666666666668,0,2,1,3,0,0,2,1,360.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0
ALONSOTEGI,48912,2018,5,25.0,40.0,0,1,0,1,0,0,0,1,120.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
ALONSOTEGI,48912,2018,6,2.0,20.0,0,1,0,1,0,0,1,0,120.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
ALONSOTEGI,48912,2018,7,12.0,45.0,0,1,1,2,0,0,0,2,240.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
ALONSOTEGI,48912,2018,8,7.0,25.0,0,2,1,3,0,0,2,1,360.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0
ALONSOTEGI,48912,2018,9,3.5,29.0,0,4,0,4,0,0,3,1,480.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0
ALONSOTEGI,48912,2018,10,6.0,21.0,0,3,2,5,0,0,2,3,600.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0
ALONSOTEGI,48912,2018,12,10.0,60.0,0,1,0,1,0,0,1,0,120.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
ALONSOTEGI,48912,2019,5,6.0,12.5,0,2,0,1,1,0,0,2,240.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
ALONSOTEGI,48912,2019,7,4.0,5.0,0,0,1,1,0,0,0,1,120.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
ALONSOTEGI,48912,2019,8,9.5,31.66666666666667,0,6,0,5,1,0,2,4,720.0,0.0,0.0,0.0,42.0,0.0,0.0,6.0
ALONSOTEGI,48912,2019,9,7.0,10.0,0,1,0,1,0,0,0,1,120.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
ALONSOTEGI,48912,2019,10,12.5,45.0,0,2,0,2,0,0,2,0,240.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0
ALONSOTEGI,48912,2019,11,9.5,27.5,0,4,0,4,0,0,3,1,480.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0
AMOREBIETA-ETXANO,48003,2018,1,6.0,25.0,0,2,0,2,0,0,1,1,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,2,10.0,27.0,0,2,0,2,0,0,0,2,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,3,3.0,25.0,0,1,0,1,0,0,0,1,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,4,6.4,18.6,0,5,0,5,0,0,3,2,935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,5,4.0,2.6666666666666665,0,3,0,3,0,0,1,2,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,6,9.75,45.0,0,4,0,4,0,0,0,4,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,7,24.0,61.25,0,14,6,18,2,0,3,17,3740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,8,8.238095238095237,25.809523809523807,0,21,0,21,0,0,8,13,3927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,9,5.352941176470588,17.764705882352942,0,14,3,16,1,0,9,8,3179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,10,6.391304347826088,16.391304347826086,0,21,2,21,2,0,16,7,4301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,11,4.1,12.3,0,9,1,10,0,0,8,2,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2018,12,10.1875,40.5625,0,15,1,12,4,0,15,1,2992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOREBIETA-ETXANO,48003,2019,2,15.0,40.0,0,1,0,1,0,0,1,0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
